GeneticID	PCA1	PCA2	Group	Period
HG01673.HO	-0.0149	-0.0262	Spanish	Modern
HG01761.HO	-0.0163	-0.0311	Spanish	Modern
HG01770.HO	-0.0135	-0.032	Spanish	Modern
HG01762.HO	-0.0189	-0.025	Spanish	Modern
HG01773.HO	-0.0157	-0.0325	Spanish	Modern
HG02220.HO	-0.0129	-0.0216	Spanish	Modern
HG02238.HO	-0.0144	-0.0325	Spanish	Modern
HG01678.HO	-0.0146	-0.0338	Spanish	Modern
HG01699.HO	-0.0101	-0.0324	Spanish	Modern
HG01697.HO	-0.0106	-0.0287	Spanish	Modern
Malta4AM91.HO	0.0112	-0.0221	Maltese	Modern
Malta8AM91.HO	0.011	-0.0238	Maltese	Modern
CRO53.HO	-0.0197	6e-4	Croatian	Modern
AshkenaziJew5779.HO	0.0149	-0.0194	Jew_Ashkenazi	Modern
SephardiJewTurkey4955.HO	0.0205	-0.0195	Jew_Turkish	Modern
NOR119.HO	-0.0304	0.0052	Norwegian	Modern
NOR124.HO	-0.031	0.0057	Norwegian	Modern
CRO103.HO	-0.0177	0.0054	Croatian	Modern
CRO107.HO	-0.0187	0.0068	Croatian	Modern
SephardiJewTurkey5877.HO	0.0202	-0.021	Jew_Turkish	Modern
TP08.HO	0.0078	-0.0188	Sicilian	Modern
GREEKGRALPOP18.HO	-0.0024	-0.0117	Greek	Modern
AshkenaziJew5782.HO	0.0128	-0.0196	Jew_Ashkenazi	Modern
BEL57.HO	0.0107	-0.0198	Italian_South	Modern
BAS35.HO	-0.0266	-0.0377	Basque	Modern
SR23.HO	0.01	-0.018	Sicilian	Modern
CRO47.HO	-0.0225	-6e-4	Croatian	Modern
NOR106.HO	-0.0268	0.0024	Norwegian	Modern
CRO41.HO	-0.0198	0.0047	Croatian	Modern
Malta7AM91.HO	0.0146	-0.0279	Maltese	Modern
SephardiJewTurkey4953.HO	0.023	-0.0322	Jew_Turkish	Modern
SephardiJewTurkey6077.HO	0.0221	-0.0278	Jew_Turkish	Modern
NOR101.HO	-0.0292	-0.0013	Norwegian	Modern
SephardiJewTurkey5832.HO	0.0245	-0.0234	Jew_Turkish	Modern
YemeniteJew4684.HO	0.0552	-0.0458	Jew_Yemenite	Modern
TP05.HO	0.0107	-0.0222	Sicilian	Modern
Kayseri24392.HO	0.0218	0.0099	Turkish	Modern
YemeniteJew4695.HO	0.057	-0.0522	Jew_Yemenite	Modern
SR60.HO	0.0121	-0.0197	Sicilian	Modern
NOR146.HO	-0.0296	0.0032	Norwegian	Modern
TP06.HO	0.0064	-0.0212	Sicilian	Modern
NOR108.HO	-0.0327	0.003	Norwegian	Modern
CRO66.HO	-0.0142	0.0049	Croatian	Modern
IranianJew1409.HO	0.037	0.0056	Jew_Iranian	Modern
NOR126.HO	-0.0315	0.0028	Norwegian	Modern
SephardiJewTurkey5075.HO	0.018	-0.0187	Jew_Turkish	Modern
GREEKGRALPOP13.HO	5e-4	-0.0106	Greek	Modern
TP07.HO	0.0129	-0.0226	Sicilian	Modern
BAS31.HO	-0.0262	-0.0395	Basque	Modern
ALB191.HO	-0.0041	-0.0021	Albanian	Modern
GREEKGRALPOP15.HO	-0.0021	-0.0048	Greek	Modern
SephardiJewTurkey4950.HO	0.0164	-0.0147	Jew_Turkish	Modern
NOR107.HO	-0.031	0.0054	Norwegian	Modern
SephardiJewTurkey5033.HO	0.0209	-0.0269	Jew_Turkish	Modern
GREEKGRALPOP5.HO	-1e-4	-0.0089	Greek	Modern
YemeniteJew4675.HO	0.053900000000000003	-0.0421	Jew_Yemenite	Modern
CRO153.HO	-0.0175	0.0037	Croatian	Modern
NOR109.HO	-0.033	0.004	Norwegian	Modern
GREEKGRALPOP9.HO	-0.0025	-0.0086	Greek	Modern
TP04.HO	0.0064	-0.0232	Sicilian	Modern
CRO31.HO	-0.0191	0.0027	Croatian	Modern
TP25.HO	0.0092	-0.021	Sicilian	Modern
GREEKGRALPOP4.HO	0.0026	-0.0095	Greek	Modern
LibyanJew1601.HO	0.0311	-0.0379	Jew_Libyan	Modern
CRO93.HO	-0.0195	0.0022	Croatian	Modern
Malta17AM91.HO	0.0128	-0.0307	Maltese	Modern
SR48R.HO	0.0096	-0.0175	Sicilian	Modern
YemeniteJew4938.HO	0.0542	-0.038	Jew_Yemenite	Modern
SR44.HO	0.0098	-0.0216	Sicilian	Modern
SR64.HO	0.0101	-0.0179	Sicilian	Modern
NOR148.HO	-0.0333	0.008	Norwegian	Modern
IraqiJew4061.HO	0.036	-0.0032	Jew_Iraqi	Modern
CYP19.HO	0.0261	-0.0199	Cypriot	Modern
CRO48.HO	-0.0182	0.001	Croatian	Modern
GREEKGRALPOP17.HO	-0.003	-0.0069	Greek	Modern
ALB213.HO	-3e-4	-0.0074	Albanian	Modern
Turkish7BA57.HO	0.0137	0.0118	Turkish	Modern
BAS22.HO	-0.0261	-0.0383	Basque	Modern
GREEKGRALPOP16.HO	0.0011	-0.0105	Greek	Modern
LibyanJew1104.HO	0.0303	-0.0337	Jew_Libyan	Modern
NOR111.HO	-0.0307	0.0026	Norwegian	Modern
BAS25.HO	-0.026	-0.0374	Basque	Modern
BAS32.HO	-0.0228	-0.0423	Basque	Modern
GREEKGRALPOP11.HO	-0.0012	-0.0064	Greek	Modern
GREEKGRALPOP10.HO	0.0013	-0.0039	Greek	Modern
Malta2AM91.HO	0.0175	-0.0168	Maltese	Modern
GREEKGRALPOP3.HO	-0.0021	-0.012	Greek	Modern
Malta16AM91.HO	0.0155	-0.0342	Maltese	Modern
GREEKGRALPOP8.HO	-0.0028	-0.0081	Greek	Modern
IranianJew1132.HO	0.0366	6e-4	Jew_Iranian	Modern
MoroccanJew5126.HO	0.0231	-0.0375	Jew_Moroccan	Modern
Turkish8BA62.HO	0.0062	0.0152	Turkish	Modern
LibyanJew1462.HO	0.0292	-0.0388	Jew_Libyan	Modern
CYP5.HO	0.0265	-0.013	Cypriot	Modern
Cyprus13AJ19.HO	0.0185	-0.0118	Cypriot	Modern
TunisianJew1763.HO	0.0324	-0.0448	Jew_Tunisian	Modern
Malta15AM91.HO	0.0121	-0.0223	Maltese	Modern
MoroccanJew4634.HO	0.0244	-0.0258	Jew_Moroccan	Modern
Istanbul20010.HO	0.0252	0.0171	Turkish	Modern
BAS30.HO	-0.0269	-0.0425	Basque	Modern
Cyprus24AJ19.HO	0.0254	-0.0164	Cypriot	Modern
YemeniteJew4667.HO	0.0588	-0.0581	Jew_Yemenite	Modern
IraqiJew4241.HO	0.0397	-0.0032	Jew_Iraqi	Modern
TunisianJew1544.HO	0.0269	-0.0327	Jew_Tunisian	Modern
AshkenaziJew5783.HO	0.0094	-0.0119	Jew_Ashkenazi	Modern
Turkish4BA57.HO	0.0156	0.0164	Turkish	Modern
AshkenaziJew5704.HO	0.0137	-0.0164	Jew_Ashkenazi	Modern
MoroccanJew4789.HO	0.0244	-0.032	Jew_Moroccan	Modern
IranianJew1159.HO	0.0383	0.0018	Jew_Iranian	Modern
MoroccanJew5168.HO	0.0244	-0.0287	Jew_Moroccan	Modern
IranianJew1513.HO	0.0375	7e-4	Jew_Iranian	Modern
AshkenaziJew5728.HO	0.01	-0.0133	Jew_Ashkenazi	Modern
ALB202.HO	-8e-4	-0.0051	Albanian	Modern
YemeniteJew4960.HO	0.0528	-0.047	Jew_Yemenite	Modern
GREEKGRALPOP12.HO	0.0027	-0.0048	Greek	Modern
AshkenaziJew5790.HO	0.0094	-0.0219	Jew_Ashkenazi	Modern
CYP2.HO	0.0249	-0.0146	Cypriot	Modern
GeorgianJew1607.HO	0.0324	0.0116	Jew_Georgian	Modern
GeorgianJew1671.HO	0.033	0.0057	Jew_Georgian	Modern
Cyprus2AJ19.HO	0.0362	-0.0196	Cypriot	Modern
Adana23114.HO	0.0252	0.0127	Turkish	Modern
GREEKGRALPOP14.HO	2e-4	-0.0127	Greek	Modern
IranianJew1556.HO	0.0353	-0.0029	Jew_Iranian	Modern
TunisianJew1170.HO	0.0294	-0.0393	Jew_Tunisian	Modern
TunisianJew1531.HO	0.0295	-0.041	Jew_Tunisian	Modern
Trabzon21177.HO	0.0328	0.0089	Turkish	Modern
GeorgianJew1577.HO	0.0324	0.006	Jew_Georgian	Modern
BAS28.HO	-0.0255	-0.0384	Basque	Modern
Aydin18784.HO	0.0175	0.0166	Turkish	Modern
IraqiJew1417.HO	0.0387	-0.0041	Jew_Iraqi	Modern
Istanbul19810.HO	0.0191	0.0189	Turkish	Modern
Trabzon21557.HO	0.0322	0.0029	Turkish	Modern
LibyanJew1611.HO	0.0288	-0.0411	Jew_Libyan	Modern
IranianJew1557.HO	0.0311	0.0107	Jew_Iranian	Modern
GeorgianJew1971.HO	0.0313	0.0062	Jew_Georgian	Modern
GeorgianJew1594.HO	0.0341	0.0045	Jew_Georgian	Modern
MoroccanJew4692.HO	0.0253	-0.0353	Jew_Moroccan	Modern
ALB212.HO	-0.0015	-0.0146	Albanian	Modern
IraqiJew1771.HO	0.0355	-0.0051	Jew_Iraqi	Modern
YemeniteJew5433.HO	0.0541	-0.0456	Jew_Yemenite	Modern
ALB220.HO	0.0014	-0.0094	Albanian	Modern
Cyprus22AJ19.HO	0.0233	-0.0203	Cypriot	Modern
