Genetic ID	Master ID
I36103.TW	I36103
I36104.TW	I36104
I36105.TW	I36105
I36108.TW	I36108
I36179.TW	I36179
I36180.TW	I36180
I36181.TW	I36181
I36521_v57.1.TW	I36521
I36522_v57.1.TW	I36522
I36523.TW	I36523
I36524.TW	I36524
I36525.TW	I36525
I36526.TW	I36526
I36527.TW	I36527
I36528.TW	I36528
I36529.TW	I36529
I36530.TW	I36530
I39396.TW	I39396
S42804_Rabble.11_SQ.TW	I42804
I16422.AG	I16422
I2695.AG	I2695
I2694.AG	I2694
I19210.AG	I19210
I11993.AG	I11993
I11994.AG	I11994
I12790.AG	I12790
I12792.AG	I12792
I12793.AG	I12793
I12926.AG	I12926
I19037.AG	I19037
I19040.AG	I19040
I19043.v58.0.TW.AG	I19043
I19043.AG	I19043
I19655.AG	I19655
I19655_d.AG	I19655
I19854.AG	I19854
I19855.AG	I19855
I21271.AG	I21271
I21272.AG	I21272
I21274.AG	I21274
I31922.TW	I31922
I31933.TW	I31933
I31942.TW	I31942
I36942_v57.1.TW	I36942
I36943_v57.1.TW	I36943
I14809.AG	I14809
I16619.AG	I16619
I36100.TW	I36100
I39405.TW	I39405
I39398.TW	I39398
I17266.AG	I17266
I19657.AG	I19657
I36876.TW	I36876
I36945_v57.1.TW	I36945
I11152.AG	I11152
I39400.TW	I39400
I39404.TW	I39404
I17262.AG	I17262
I20982.AG	I20982
I20983.AG	I20983
I20984.AG	I20984
I20985.AG	I20985
I20986.AG	I20986
I20987.AG	I20987
I13681.AG	I13681
I16596.AG	I16596
I30902.TW	I30902
I30903.TW	I30903
I30904.TW	I30904
I30905.TW	I30905
I30906.TW	I30906
I30907.TW	I30907
I30908_d.TW	I30908
I30909.TW	I30909
I30910.TW	I30910
I30911.TW	I30911
I30912.TW	I30912
I30913.TW	I30913
I30958.TW	I30958
I30959.TW	I30959
I30961.TW	I30961
I30962.TW	I30962
I30963.TW	I30963
I30964.TW	I30964
I30965.TW	I30965
I30966.TW	I30966
I30967.TW	I30967
I30968.TW	I30968
I30969.TW	I30969
I30970.TW	I30970
I30971.TW	I30971
I30972.TW	I30972
I30973.TW	I30973
I30974.TW	I30974
I30975.TW	I30975
I30976.TW	I30976
I30977.TW	I30977
I30978.TW	I30978
I30979.TW	I30979
I30980.TW	I30980
I30981.TW	I30981
I30982.TW	I30982
I30983.TW	I30983
I30984.TW	I30984
I30985.TW	I30985
I30986.TW	I30986
I30987.TW	I30987
I30988.TW	I30988
